source,target,weight
106,3,1.0
154,3,0.8181818181818182
195,3,1.0
223,3,1.0
382,3,1.0
5,82,0.8888888888888888
10,245,1.0
193,11,1.0
382,11,1.0
91,14,1.0
152,14,0.8333333333333334
174,14,1.0
215,14,1.0
223,14,1.0
292,14,0.8666666666666667
339,14,0.875
405,14,0.8333333333333334
15,27,1.0
15,159,0.9411764705882353
23,16,0.8133874239350912
34,16,0.9347826086956522
35,16,0.8181818181818182
38,16,0.8095238095238095
43,16,1.0
45,16,1.0
49,16,1.0
61,16,0.8085106382978723
68,16,1.0
69,16,0.8322147651006712
72,16,0.8333333333333334
77,16,0.9029126213592233
81,16,1.0
85,16,0.8425925925925926
91,16,1.0
96,16,0.9634831460674157
101,16,1.0
115,16,0.9338842975206612
116,16,1.0
124,16,1.0
128,16,0.8333333333333334
130,16,1.0
131,16,1.0
132,16,0.8470824949698189
151,16,0.8947368421052632
160,16,0.9041095890410958
174,16,1.0
186,16,0.9583333333333334
194,16,1.0
215,16,1.0
220,16,0.9055944055944056
222,16,0.8853211009174312
244,16,0.9316888045540797
247,16,0.9166666666666666
248,16,0.875
256,16,0.803030303030303
265,16,0.8333333333333334
292,16,1.0
316,16,1.0
324,16,1.0
327,16,0.8888888888888888
340,16,1.0
346,16,0.8444444444444444
347,16,0.875
357,16,1.0
364,16,1.0
381,16,0.9090909090909091
403,16,0.875
405,16,0.9666666666666667
421,16,1.0
428,16,1.0
431,16,1.0
432,16,1.0
20,100,1.0
20,159,1.0
160,23,1.0
432,23,1.0
45,26,1.0
91,27,0.8571428571428571
154,27,0.8181818181818182
155,27,0.8333333333333334
158,27,0.8333333333333334
210,27,1.0
29,166,0.9495798319327731
175,32,1.0
91,33,0.8571428571428571
106,33,1.0
136,33,0.8888888888888888
172,33,1.0
194,33,1.0
209,33,1.0
223,33,1.0
230,33,0.8275862068965517
265,33,0.8333333333333334
359,33,1.0
416,33,1.0
431,33,0.8333333333333334
432,33,1.0
34,159,0.9021739130434783
34,245,0.8586956521739131
35,159,0.9090909090909091
39,354,0.875
71,40,1.0
45,43,1.0
91,43,1.0
96,43,0.851123595505618
116,43,1.0
174,43,1.0
215,43,1.0
327,43,0.8888888888888888
431,43,0.8333333333333334
