id,label
3,aid
5,amortisation
10,asian crisis
11,assets
14,average
15,balanced budget
16,bank
20,behavioural economics
23,bonds
26,bubble
27,budget
29,business confidence
32,capacity
33,capital
34,capital controls
35,capital flight
38,capital markets
39,capital structure
40,capitalism
43,central bank
45,chicago school
49,command economy
52,comparative advantage
53,competition
55,competitiveness
57,conditionality
58,consumer confidence
59,consumer prices
61,contagion
64,corruption
65,cost-benefit analysis
67,credit
68,credit creation
69,credit crunch
71,crony capitalism
72,current account
73,debt
75,default
76,deficit
77,deflation
78,demand
79,demand curve
81,deposit insurance
82,depreciation
85,derivatives
88,diminishing returns
89,direct taxation
91,disinflation
93,dividend
96,ecb
97,econometrics
98,economic indicator
100,economics
101,effective exchange rate
106,endogenous
113,equity
114,euro
115,euro zone
116,european central bank
120,exchange rate
122,expectations
123,expenditure tax
124,export credit
125,exports
127,fair trade
128,fdi
130,financial instrument
131,financial intermediary
132,financial markets
134,firms
136,fiscal drag
137,fiscal policy
139,flotation
141,foreign direct investment
144,free trade
149,gdp
151,gilts
152,gini coefficient
154,gni
155,gnp
158,golden rule
159,government
160,government bonds
161,government debt
162,government expenditure
163,government revenue
164,gross domestic product
165,gross national product
166,growth
167,hard currency
170,hot money
171,house prices
172,human capital
174,hyper-inflation
175,hypothecation
176,ilo
177,imf
179,income
180,income tax
181,indexation
182,indirect taxation
183,inelastic
184,inequality
185,inflation
186,inflation target
187,information
188,infrastructure
192,insurance
193,intangible assets
194,intellectual capital
195,international aid
196,international labour organisation
198,international trade
200,investment
201,invisible hand
202,inward investment
205,keynesian
206,kleptocracy
207,labour
209,labour market flexibility
210,laffer curve
212,laissez-faire
214,land tax
215,leading indicators
220,libor
221,life
222,liquidity
223,liquidity trap
224,lock-in
226,macroeconomic policy
227,macroeconomics
228,manufacturing
230,market capitalisation
231,market failure
235,mean
239,mixed economy
244,monetary policy
245,money
247,money markets
248,money supply
251,multiplier
252,nafta
253,nation building
254,national debt
255,national income
256,nationalisation
265,opec
266,opportunity cost
269,output
270,output gap
274,overshooting
276,percentile
278,phillips curve
282,ppp
284,price
287,price regulation
289,private equity
290,privatisation
292,producer prices
294,profit
297,progressive taxation
301,public spending
302,public utility
304,purchasing power parity
310,rationality
312,real exchange rate
313,real terms
314,recession
316,reflation
317,regional policy
318,regressive tax
319,regulation
321,regulatory capture
322,regulatory risk
324,rent-seeking
325,replacement cost
327,repo
330,reserve currency
334,returns
336,risk
339,risk premium
340,risk seeking
343,savings
345,scenario analysis
346,seasonally adjusted
347,secondary market
352,services
354,shares
357,shorting
359,social capital
360,social market
362,sovereign risk
363,speculation
364,spot price
374,structural unemployment
375,subsidy
377,supply
379,sustainable growth
381,systemic risk
382,tangible assets
386,tax burden
387,tax competition
388,tax efficient
390,taxation
394,total return
395,trade
397,trade unions
399,transaction costs
403,transmission mechanism
405,treasury bills
407,trust
408,uncertainty
410,unemployment
411,unions
413,utility
416,venture capital
417,vertical integration
420,wages
421,wealth effect
422,wealth tax
423,welfare
425,windfall gains
427,withholding tax
428,world bank
429,world trade organisation
431,yield curve
432,yield gap
