id,label
3,aid
154,gni
5,amortisation
82,depreciation
14,average
152,gini coefficient
292,producer prices
339,risk premium
405,treasury bills
15,balanced budget
159,government
16,bank
23,bonds
34,capital controls
35,capital flight
38,capital markets
61,contagion
69,credit crunch
72,current account
77,deflation
85,derivatives
96,ecb
115,euro zone
128,fdi
132,financial markets
151,gilts
160,government bonds
186,inflation target
220,libor
222,liquidity
244,monetary policy
247,money markets
248,money supply
256,nationalisation
265,opec
327,repo
346,seasonally adjusted
347,secondary market
381,systemic risk
403,transmission mechanism
27,budget
91,disinflation
155,gnp
158,golden rule
29,business confidence
166,growth
33,capital
136,fiscal drag
230,market capitalisation
431,yield curve
245,money
39,capital structure
354,shares
43,central bank
55,competitiveness
57,conditionality
58,consumer confidence
59,consumer prices
185,inflation
65,cost-benefit analysis
73,debt
98,economic indicator
227,macroeconomics
330,reserve currency
357,shorting
75,default
76,deficit
78,demand
224,lock-in
364,spot price
114,euro
149,gdp
177,imf
284,price
410,unemployment
100,economics
270,output gap
141,foreign direct investment
137,fiscal policy
139,flotation
207,labour
161,government debt
162,government expenditure
163,government revenue
167,hard currency
172,human capital
180,income tax
181,indexation
195,international aid
205,keynesian
212,laissez-faire
214,land tax
231,market failure
239,mixed economy
251,multiplier
254,national debt
255,national income
266,opportunity cost
282,ppp
290,privatisation
297,progressive taxation
301,public spending
310,rationality
313,real terms
317,regional policy
360,social market
375,subsidy
386,tax burden
390,taxation
422,wealth tax
423,welfare
427,withholding tax
164,gross domestic product
170,hot money
226,macroeconomic policy
176,ilo
198,international trade
395,trade
200,investment
221,life
253,nation building
235,mean
362,sovereign risk
352,services
336,risk
399,transaction costs
388,tax efficient
